Date,Sales
Jan-16,270
Feb-16,270
Mar-16,1860
Apr-16,795
May-16,1600
Jun-16,2145
Jul-16,750
Aug-16,1833
Sep-16,3200
Oct-16,725
Nov-16,900
Dec-16,3875
Jan-17,750
Feb-17,800
Mar-17,2750
Apr-17,715
May-17,1730
Jun-17,2200
Jul-17,1650
Aug-17,1575
Sep-17,3120
Oct-17,850
Nov-17,1875
Dec-17,3300
Jan-18,700
Feb-18,975
Mar-18,2825
Apr-18,1025
May-18,1450
Jun-18,2550
Jul-18,1325
Aug-18,2750
Sep-18,3975
Oct-18,1225
Nov-18,3200
Dec-18,4100
Jan-19,775
Feb-19,900
Mar-19,2175
Apr-19,1050
May-19,1375
Jun-19,2725
Jul-19,1225
Aug-19,1825
Sep-19,1675
Oct-19,1100
Nov-19,1300
Dec-19,3100
